date,avg_sf_temperature,index_id
03/08/2014,56.0,332
03/08/2015,55.0,333
03/08/2016,51.0,334
03/08/2017,53.0,335
03/09/2013,50.0,336
03/09/2014,62.0,337
03/09/2015,54.0,338
03/09/2016,55.0,339
03/09/2017,58.0,340
03/10/2013,50.0,341
03/10/2014,62.0,342
03/10/2015,53.0,343
03/10/2016,61.0,344
03/10/2017,59.0,345
03/11/2013,53.0,346
03/11/2014,58.0,347
03/11/2015,55.0,348
03/11/2016,57.0,349
03/11/2017,59.0,350
03/12/2013,54.0,351
03/12/2014,63.0,352
03/12/2015,55.0,353
03/12/2016,54.0,354
03/12/2017,59.0,355
03/13/2013,55.0,356
03/13/2014,61.0,357
03/13/2015,58.0,358
03/13/2016,57.0,359
03/13/2017,58.0,360
03/14/2013,57.0,361
03/14/2014,58.0,362
03/14/2015,60.0,363
03/14/2016,57.0,364
03/14/2017,63.0,365
03/15/2013,58.0,366
03/15/2014,60.0,367
03/15/2015,60.0,368
03/15/2016,53.0,369
03/15/2017,61.0,370
03/16/2013,55.0,371
03/16/2014,60.0,372
03/16/2015,57.0,373
03/16/2016,56.0,374
03/16/2017,61.0,375
03/17/2013,55.0,376
03/17/2014,57.0,377
03/17/2015,58.0,378
03/17/2016,59.0,379
03/17/2017,58.0,380
03/18/2013,56.0,381
03/18/2014,56.0,382
03/18/2015,57.0,383
03/18/2016,58.0,384
03/18/2017,61.0,385
03/19/2013,53.0,386
03/19/2014,57.0,387
03/19/2015,56.0,388
03/19/2016,57.0,389
03/19/2017,60.0,390
03/20/2013,55.0,391
03/20/2014,59.0,392
03/20/2015,55.0,393
03/20/2016,58.0,394
03/20/2017,59.0,395
03/21/2013,53.0,396
03/21/2014,55.0,397
03/21/2015,56.0,398
03/21/2016,56.0,399
03/21/2017,62.0,400
03/22/2013,52.0,401
03/22/2014,54.0,402
03/22/2015,57.0,403
03/22/2016,54.0,404
03/22/2017,58.0,405
03/23/2013,53.0,406
03/23/2014,55.0,407
03/23/2015,56.0,408
03/23/2016,55.0,409
03/23/2017,53.0,410
03/24/2013,54.0,411
03/24/2014,56.0,412
03/24/2015,56.0,413
03/24/2016,56.0,414
03/24/2017,56.0,415
03/25/2013,54.0,416
03/25/2014,55.0,417
03/25/2015,58.0,418
03/25/2016,57.0,419
03/25/2017,57.0,420
03/26/2013,52.0,421
03/26/2014,55.0,422
03/26/2015,59.0,423
03/26/2016,58.0,424
03/26/2017,56.0,425
03/27/2013,52.0,426
03/27/2014,55.0,427
03/27/2015,59.0,428
03/27/2016,59.0,429
03/27/2017,57.0,430
03/28/2013,55.0,431
03/28/2014,58.0,432
03/28/2015,58.0,433
03/28/2016,54.0,434
03/28/2017,58.0,435
03/29/2013,57.0,436
03/29/2014,57.0,437
03/29/2015,56.0,438
03/29/2016,52.0,439
03/29/2017,62.0,440
03/30/2013,59.0,441
03/30/2014,53.0,442
03/30/2015,56.0,443
03/30/2016,54.0,444
03/30/2017,62.0,445
03/31/2013,59.0,446
03/31/2014,51.0,447
03/31/2015,58.0,448
03/31/2016,57.0,449
03/31/2017,59.0,450
04/01/2013,58.0,451
04/01/2014,49.0,452
04/01/2015,57.0,453
04/01/2016,56.0,454
04/01/2017,63.0,455
04/02/2013,58.0,456
04/02/2014,49.0,457
04/02/2015,57.0,458
04/02/2016,56.0,459
04/02/2017,62.0,460
04/03/2013,55.0,461
04/03/2014,53.0,462
04/03/2015,55.0,463
04/03/2016,56.0,464
04/03/2017,63.0,465
04/04/2013,56.0,466
04/04/2014,53.0,467
04/04/2015,54.0,468
04/04/2016,58.0,469
04/04/2017,59.0,470
04/05/2013,56.0,471
04/05/2014,53.0,472
04/05/2015,51.0,473
04/05/2016,60.0,474
04/05/2017,62.0,475
04/06/2013,57.0,476
04/06/2014,58.0,477
04/06/2015,50.0,478
04/06/2016,67.0,479
04/06/2017,59.0,480
04/07/2013,56.0,481
04/07/2014,64.0,482
04/07/2015,52.0,483
04/07/2016,67.0,484
04/07/2017,57.0,485
04/08/2013,56.0,486
04/08/2014,67.0,487
04/08/2015,51.0,488
04/08/2016,61.0,489
04/08/2017,54.0,490
04/09/2013,54.0,491
04/09/2014,61.0,492
04/09/2015,52.0,493
04/09/2016,59.0,494
04/09/2017,52.0,495
04/10/2013,59.0,496
04/10/2014,58.0,497
04/10/2015,53.0,498
04/10/2016,57.0,499
04/10/2017,55.0,500
04/11/2013,67.0,501
04/11/2014,59.0,502
04/11/2015,54.0,503
04/11/2016,58.0,504
04/11/2017,60.0,505
04/12/2013,60.0,506
04/12/2014,57.0,507
04/12/2015,57.0,508
04/12/2016,57.0,509
04/12/2017,61.0,510
04/13/2013,57.0,511
04/13/2014,58.0,512
04/13/2015,54.0,513
04/13/2016,56.0,514
04/13/2017,58.0,515
04/14/2013,56.0,516
04/14/2014,59.0,517
04/14/2015,55.0,518
04/14/2016,57.0,519
04/14/2017,54.0,520
04/15/2013,54.0,521
04/15/2014,60.0,522
04/15/2015,57.0,523
04/15/2016,56.0,524
04/15/2017,56.0,525
04/16/2013,53.0,526
04/16/2014,60.0,527
04/16/2015,62.0,528
04/16/2016,62.0,529
04/16/2017,58.0,530
04/17/2013,53.0,531
04/17/2014,61.0,532
04/17/2015,58.0,533
04/17/2016,64.0,534
04/17/2017,59.0,535
04/18/2013,59.0,536
04/18/2014,59.0,537
04/18/2015,53.0,538
04/18/2016,67.0,539
04/18/2017,59.0,540
04/19/2013,59.0,541
04/19/2014,56.0,542
04/19/2015,54.0,543
04/19/2016,66.0,544
04/19/2017,59.0,545
04/20/2013,60.0,546
04/20/2014,60.0,547
04/20/2015,55.0,548
04/20/2016,63.0,549
04/20/2017,62.0,550
04/21/2013,63.0,551
04/21/2014,59.0,552
04/21/2015,55.0,553
04/21/2016,65.0,554
04/21/2017,61.0,555
04/22/2013,63.0,556
04/22/2014,56.0,557
04/22/2015,56.0,558
04/22/2016,60.0,559
04/22/2017,61.0,560
04/23/2013,69.0,561
04/23/2014,55.0,562
04/23/2015,55.0,563
04/23/2016,56.0,564
04/23/2017,59.0,565
04/24/2013,67.0,566
04/24/2014,58.0,567
04/24/2015,56.0,568
04/24/2016,58.0,569
04/24/2017,57.0,570
04/25/2013,55.0,571
04/25/2014,56.0,572
04/25/2015,55.0,573
04/25/2016,55.0,574
04/25/2017,58.0,575
04/26/2013,56.0,576
04/26/2014,52.0,577
04/26/2015,56.0,578
04/26/2016,55.0,579
04/26/2017,61.0,580
04/27/2013,55.0,581
04/27/2014,55.0,582
04/27/2015,60.0,583
04/27/2016,56.0,584
04/27/2017,60.0,585
04/28/2013,55.0,586
04/28/2014,57.0,587
04/28/2015,57.0,588
04/28/2016,58.0,589
04/28/2017,61.0,590
04/29/2013,58.0,591
04/29/2014,60.0,592
04/29/2015,56.0,593
04/29/2016,59.0,594
04/29/2017,67.0,595
04/30/2013,70.0,596
04/30/2014,65.0,597
04/30/2015,59.0,598
04/30/2016,62.0,599
04/30/2017,65.0,600
05/01/2013,67.0,601
05/01/2014,64.0,602
05/01/2015,63.0,603
05/01/2016,68.0,604
05/01/2017,67.0,605
05/02/2013,70.0,606
05/02/2014,60.0,607
05/02/2015,56.0,608
05/02/2016,63.0,609
05/02/2017,72.0,610
05/03/2013,71.0,611
05/03/2014,57.0,612
05/03/2015,55.0,613
05/03/2016,60.0,614
05/03/2017,73.0,615
05/04/2013,72.0,616
05/04/2014,60.0,617
05/04/2015,53.0,618
05/04/2016,61.0,619
05/04/2017,68.0,620
05/05/2013,70.0,621
05/05/2014,59.0,622
05/05/2015,55.0,623
05/05/2016,60.0,624
05/05/2017,60.0,625
05/06/2013,61.0,626
05/06/2014,58.0,627
05/06/2015,57.0,628
05/06/2016,57.0,629
05/06/2017,57.0,630
05/07/2013,62.0,631
05/07/2014,57.0,632
05/07/2015,59.0,633
05/07/2016,57.0,634
05/07/2017,60.0,635
05/08/2013,63.0,636
05/08/2014,56.0,637
05/08/2015,57.0,638
05/08/2016,60.0,639
05/08/2017,62.0,640
05/09/2013,59.0,641
05/09/2014,59.0,642
05/09/2015,54.0,643
05/09/2016,59.0,644
05/09/2017,64.0,645
05/10/2013,58.0,646
05/10/2014,57.0,647
05/10/2015,54.0,648
05/10/2016,61.0,649
05/10/2017,63.0,650
05/11/2013,56.0,651
05/11/2014,61.0,652
05/11/2015,54.0,653
05/11/2016,62.0,654
05/11/2017,61.0,655
05/12/2013,60.0,656
05/12/2014,64.0,657
05/12/2015,56.0,658
05/12/2016,62.0,659
05/12/2017,60.0,660
05/13/2013,63.0,661
05/13/2014,71.0,662
05/13/2015,55.0,663
05/13/2016,60.0,664
05/13/2017,57.0,665
05/14/2013,63.0,666
05/14/2014,73.0,667
05/14/2015,55.0,668
05/14/2016,60.0,669
05/14/2017,57.0,670
05/15/2013,62.0,671
05/15/2014,72.0,672
05/15/2015,54.0,673
05/15/2016,62.0,674
05/15/2017,59.0,675
05/16/2013,57.0,676
05/16/2014,64.0,677
05/16/2015,55.0,678
05/16/2016,63.0,679
05/16/2017,59.0,680
05/17/2013,60.0,681
05/17/2014,60.0,682
05/17/2015,55.0,683
05/17/2016,69.0,684
05/17/2017,60.0,685
05/18/2013,59.0,686
05/18/2014,60.0,687
05/18/2015,55.0,688
05/18/2016,72.0,689
